review,sentiment
"phil the alien is one of those quirky films where the humour is based around the oddness of everything rather than actual punchlines.at first it was very odd and pretty funny but as the movie progressed i didn't find the jokes or oddness funny anymore.its a low budget film thats never a problem in itself , there were some pretty interesting characters, but eventually i just lost interest.i imagine this film would appeal to a stoner who is currently partaking.for something similar but better try brother from another planet",negative
"i saw this movie when i was about 12 when it came out. i recall the scariest scene was the big bird eating men dangling helplessly from parachutes right out of the air. the horror. the horror.as a young kid going to these cheesy b films on saturday afternoons, i still was tired of the formula for these monster type movies that usually included the hero, a beautiful woman who might be the daughter of a professor and a happy resolution when the monster died in the end. i didn't care much for the romantic angle as a 12 year old and the predictable plots. i love them now for the unintentional humor.but, about a year or so later, i saw psycho when it came out and i loved that the star, janet leigh, was bumped off early in the film. i sat up and took notice at that point. since screenwriters are making up the story, make it up to be as scary as possible and not from a well worn formula. there are no rules.",negative
"so im not a big fan of boll's work but then again not many are. i enjoyed his movie postal maybe im the only one . boll apparently bought the rights to use far cry long ago even before the game itself was even finsished. people who have enjoyed killing mercs and infiltrating secret research labs located on a tropical island should be warned, that this is not far cry... this is something mr boll have schemed together along with his legion of schmucks.. feeling loneley on the set mr boll invites three of his countrymen to play with. these players go by the names of til schweiger, udo kier and ralf moeller.three names that actually have made them selfs pretty big in the movie biz. so the tale goes like this, jack carver played by til schweiger yes carver is german all hail the bratwurst eating dudes!! however i find that tils acting in this movie is pretty badass.. people have complained about how he's not really staying true to the whole carver agenda but we only saw carver in a first person perspective so we don't really know what he looked like when he was kicking a .. however, the storyline in this film is beyond demented. we see the evil mad scientist dr. krieger played by udo kier, making genetically mutated soldiers or gms as they are called. performing his top secret research on an island that reminds me of spoiler vancouver for some reason. thats right no palm trees here. instead we got some nice rich lumberjack woods. we haven't even gone far before i started to cry mehehe i cannot go on any more.. if you wanna stay true to bolls shenanigans then go and see this movie you will not be disappointed it delivers the true boll experience, meaning most of it will suck.there are some things worth mentioning that would imply that boll did a good work on some areas of the film such as some nice boat and fighting scenes. until the whole cromed albino gms squad enters the scene and everything just makes me laugh.. the movie far cry reeks of scheisse that's poop for you simpletons from a fa,r if you wanna take a wiff go ahead.. btw carver gets a very annoying sidekick who makes you wanna shoot him the first three minutes he's on screen.",negative
"the cast played shakespeare.shakespeare lost.i appreciate that this is trying to bring shakespeare to the masses, but why ruin something so good.is it because 'the scottish play' is my favorite shakespeare? i do not know. what i do know is that a certain rev bowdler hence bowdlerization tried to do something similar in the victorian era.in other words, you cannot improve perfection.i have no more to write but as i have to write at least ten lines of text and english composition was never my forte i will just have to keep going and say that this movie, as the saying goes, just does not cut it.",negative
this a fantastic movie of three prisoners who become famous. one of the actors is george clooney and i'm not a fan but this roll is not bad. another good thing about the movie is the soundtrack the man of constant sorrow . i recommand this movie to everybody. greetings bart,positive
"kind of drawn in by the erotic scenes, only to realize this was one of the most amateurish and unbelievable bits of film i've ever seen. sort of like a high school film project. what was rosanna arquette thinking?? and what was with all those stock characters in that bizarre supposed midwest town? pretty hard to get involved with this one. no lessons to be learned from it, no brilliant insights, just stilted and quite ridiculous but lots of skin, if that intrigues you videotaped nonsense....what was with the bisexual relationship, out of nowhere, after all the heterosexual encounters. and what was with that absurd dance, with everybody playing their stereotyped roles? give this one a pass, it's like a million other miles of bad, wasted film, money that could have been spent on starving children or aids in africa.....",negative
"some films just simply should not be remade. this is one of them. in and of itself it is not a bad film. but it fails to capture the flavor and the terror of the 1963 film of the same title. liam neeson was excellent as he always is, and most of the cast holds up, with the exception of owen wilson, who just did not bring the right feel to the character of luke. but the major fault with this version is that it strayed too far from the shirley jackson story in it's attempts to be grandiose and lost some of the thrill of the earlier film in a trade off for snazzier special effects. again i will say that in and of itself it is not a bad film. but you will enjoy the friction of terror in the older version much more.",positive
"this movie made it into one of my top 10 most awful movies. horrible. there wasn't a continuous minute where there wasn't a fight with one monster or another. there was no chance for any character development, they were too busy running from one sword fight to another. i had no emotional attachment except to the big bad machine that wanted to destroy them scenes were blatantly stolen from other movies, lotr, star wars and matrix. examples the ghost scene at the end was stolen from the final scene of the old star wars with yoda, obee one and vader. the spider machine in the beginning was exactly like frodo being attacked by the spider in return of the kings. elijah wood is the victim in both films and wait......it hypnotizes stings its victim and wraps them up.....uh hello???? and the whole machine vs. humans theme was the matrix..or terminator.....there are more examples but why waste the time? and will someone tell me what was with the nazi's?!?! nazi's???? there was a juvenile story line rushed to a juvenile conclusion. the movie could not decide if it was a children's movie or an adult movie and wasn't much of either. just awful. a real disappointment to say the least. save your money.",negative
"i remember this film,it was the first film i had watched at the cinema the picture was dark in places i was very nervous it was back in 74 75 my dad took me my brother sister to newbury cinema in newbury berkshire england. i recall the tigers and the lots of snow in the film also the appearance of grizzly adams actor dan haggery i think one of the tigers gets shot and dies. if anyone knows where to find this on dvd etc please let me know.the cinema now has been turned in a fitness club which is a very big shame as the nearest cinema now is 20 miles away, would love to hear from others who have seen this film or any other like it.",positive
"an awful film! it must have been up against some real stinkers to be nominated for the golden globe. they've taken the story of the first famous female renaissance painter and mangled it beyond recognition. my complaint is not that they've taken liberties with the facts if the story were good, that would perfectly fine. but it's simply bizarre by all accounts the true story of this artist would have made for a far better film, so why did they come up with this dishwater dull script? i suppose there weren't enough naked people in the factual version. it's hurriedly capped off in the end with a summary of the artist's life we could have saved ourselves a couple of hours if they'd favored the rest of the film with same brevity.",negative
"after the success of die hard and it's sequels it's no surprise really that in the 1990s, a glut of 'die hard on a .....' movies cashed in on the wrong guy, wrong place, wrong time concept. that is what they did with cliffhanger, die hard on a mountain just in time to rescue sly 'stop or my mom will shoot' stallone's career.cliffhanger is one big nit pickers dream, especially to those who are expert at mountain climbing, base jumping, aviation, facial expressions, acting skills. all in all it's full of excuses to dismiss the film as one overblown pile of junk. stallone even managed to get out acted by a horse! however, if you an forget all the nonsense, it's actually a very lovable and undeniably entertaining romp that delivers as plenty of thrills, and unintentionally, plenty of laughs.you've got to love john lithgows sneery evilness, his tick every box band of baddies, and best of all, the permanently harassed and hapless 'turncoat' agent, rex linn as travers.he may of been henry in 'portrait of a serial killer' but michael rooker is noteworthy for a cringe worthy performance as hal, he insists on constantly shrieking in painful disbelief at his captors 'that man never hurt anybody' and whilst he surely can't be, it really does look like ralph waite's frank character is grinning as the girl plummets to her death.mention too must go to former 'london's burning' actor craig fairbrass as the brit bad guy, who comes a cropper whilst using hal as a human football, yes, you can't help enjoy that bit, hal needed a good kicking.so forget your better judgement, who cares if 'that could never happen', lower your acting expectations, turn up the volume and enjoy! and if you're looking for qaulen, he's the one wearing the helicopter.",positive
"i had the terrible misfortune of having to view this b movie in it's entirety.all i have to say is save your time and money!!! this has got to be the worst b movie of all time, it shouldn't even be called a b movie, more like an f movie! because it fails in all aspects that make a good movie the story is not interesting at all, all of the actors are paper thin and not at all believable, it has bad direction and the action sequences are so fake it's almost funny.......almost.the movie is just packed full of crappy one liners that no respectable person could find amusing in the least little bit.this movie is supposed to be geared towards men, but all the women in it are so utterly unattractive, especially that old wrinkled thing that comes in towards the end. they try to appear sexy in those weird, horrible costumes and they fail miserably!!!even some of the most ridiculous b movies will still give you some laughs, but this is just too painful to watch!!",negative
"what an absolutely stunning movie, if you have 2.5 hrs to kill, watch it, you won't regret it, it's too much fun! rajnikanth carries the movie on his shoulders and although there isn't anything more other than him, i still liked it. the music by a.r.rehman takes time to grow on you but after you heard it a few times, you really start liking it.",positive
"first of all, let's get a few things straight here a i am an anime fan always has been as a matter of fact i used to watch speed racer all the time in preschool . b i do like several b movies because they're hilarious. c i like the godzilla movies a lot.moving on, when the movie first comes on, it seems like it's going to be your usual b movie, down to the crappy fx, but all a sudden boom! the anime comes on! this is when the movie goes wwwaaaaayyyyy downhill.the animation is very bad cheap, even worse than what i remember from speed racer, for crissakes! in fact, it's so cheap, one of the few scenes from the movie i vividly remember is when a bunch of kids run out of a school... it's the same kids over over again! the fx are terrible, too the dinosaurs look worse than godzilla. in addition, the transition to live action to animation is unorganized, the dialogue voices especially the english dub that i viewed was horrid i was begging my dad to take the tape out of the dvd vhs player the only thing that kept me surviving was cracking out jokes comments like the robots joel mike on mst3k you pick the season . honestly, this is the only way to barely enjoy this movie survive it at the same time.heck, i'm planning to show this to another fellow otaku pal of mine on halloween for a b movie night. because it's stupid, pretty painful to watch unintentionally hilarious at the same time, i'm giving this movie a 3 10, an improvement from the 0.5 10 i was originally going to give it. according to my grading scale 3 10 means pretty much both boring bad. as fun as counting to three unless you find a way to make fun of it, then it will become as fun as counting to 15.",negative
this was the worst movie i saw at worldfest and it also received the least amount of applause afterwards! i can only think it is receiving such recognition based on the amount of known actors in the film. it's great to see j.beals but she's only in the movie for a few minutes. m.parker is a much better actress than the part allowed for. the rest of the acting is hard to judge because the movie is so ridiculous and predictable. the main character is totally unsympathetic and therefore a bore to watch. there is no real emotional depth to the story. a movie revolving about an actor who can't get work doesn't feel very original to me. nor does the development of the cop. it feels like one of many straight to video movies i saw back in the 90s ... and not even a good one in those standards.,negative
"the karen carpenter story shows a little more about singer karen carpenter's complex life. though it fails in giving accurate facts, and details.cynthia gibb portrays karen was not a fine election. she is a good actress , but plays a very naive and sort of dumb karen carpenter. i think that the role needed a stronger character. someone with a stronger personality.louise fletcher role as agnes carpenter is terrific, she does a great job as karen's mother.it has great songs, which could have been included in a soundtrack album. unfortunately they weren't, though this movie was on the top of the ratings in usa and other several countries",positive
"the cell is an exotic masterpiece, a dizzying trip into not only the vast mind of a serial killer, but also into one of a very talented director. this is conclusive evidence of what can be achieved if human beings unleash their uninhibited imaginations. this is boldness at work, pushing aside thoughts to fall into formulas and cliches and creating something truly magnificent. this is the best movie of the year to date.i've read numerous complaints about this film, anywhere from all style and no substance to poorly cast characters and bad acting. to negatively criticize this film is to miss the point. this movie may be a landmark, a tradition where future movies will hopefully follow. the cell has just opened the door to another world of imagination. so can we slam the door in its face and tell it and its director tarsem singh that we don't want any more? personally, i would more than welcome another movie by tarsem, and would love to see someone try to challenge him.we've all heard talk about going inside the mind of a serial killer, and yes, i do agree that the genre is a bit overworked. the 90s were full of movies trying to depict what makes serial killers tick some of them worked, but most failed. but the cell does not blaze down the same trail, we are given a new twist, we are physically transported into the mind and presented with nothing less than a fascinating journey of the most mysterious subject matter ever studied.i like how the movie does not bog us down with too much scientific jargon trying to explain how jennifer lopez actually gets to enter the brain of another. instead, she just lies down on a laboratory table and is wrapped with what looks like really long twizzlers and jaunted into another entity. the cell wants to let you see what it's all about and not how it's all about, and i guess that's what some people don't like. true, i do like explanations with my movies, but when a movie ventures onto new ground you must let it do what it desires and simply take it in.i noticed how the film was very dark when it showed reality, maybe to contrast the bright visuals when inside the brain of another. nonetheless, the set design was simply astonishing. i wouldn't be surprised if this film took home a few oscars in cinematography, best costumes, best director and the like. if it were up to me it'd at least get nominated for best picture.i've noticed that i've kind of been repeating myself. not because there's nothing else to say, but because i can't stress enough how fantastic i thought the cell was. if you walk into the movie with a very open mind and to have it taken over with wonders and an eye popping feast then you are assured a good time. i guess this film was just a little too much for some people, writing it off as weird or crazy . i am very much into psychology and the imagination of the human mind, so it was right down my alley. leaving the theater, i heard one audience member say whoever made that movie sure did a lot of good drugs. if so, i want what he was smoking. out of 4",positive
"this film tried to be too many things all at once stinging political satire, hollywood blockbuster, sappy romantic comedy, family values promo... the list goes on and on. it failed miserably at all of them, but there was enough interest to keep me from turning it off until the end.although i appreciate the spirit behind war, inc., it depresses me to see such a clumsy effort, especially when it will be taken by its targets to reflect the lack of the existence of a serious critique, rather than simply the poor writing, direction, and production of this particular film.there is a critique to be made about the corporatization of war. but poking fun at it in this way diminishes the true atrocity of what is happening. reminds me a bit of three kings, which similarly trivializes a genuine cause for concern.",negative
"this movie was so frustrating. everything seemed energetic and i was totally prepared to have a good time. i at least thought i'd be able to stand it. but, i was wrong. first, the weird looping? it was like watching america's funniest home videos . the damn parents. i hated them so much. the stereo typical latino family? i need to speak with the person responsible for this. we need to have a talk. that little girl who was always hanging on someone? i just hated her and had to mention it. now, the final scene transcends, i must say. it's so gloriously bad and full of badness that it is a movie of its own. what crappy dancing. horrible and beautiful at once.",negative
"'war movie' is a hollywood genre that has been done and redone so many times that cliche d dialogue, rehashed plot and over the top action sequences seem unavoidable for any conflict dealing with large scale combat. once in a while, however, a war movie comes along that goes against the grain and brings a truly original and compelling story to life on the silver screen. the civil war era cold mountain, starring jude law, nicole kidman and rene e zellweger is such a film.then again, calling cold mountain a war movie is not entirely accurate. true enough, the film opens with a quite literally quick and dirty battle sequence that puts glory director edward zwick shame. however, cold mountain is not so much about the civil war itself as it is about the period and the people of the times. the story centers around disgruntled confederate soldier inman, played by jude law, who becomes disgusted with the gruesome war and homesick for the beautiful hamlet of cold mountain, north carolina and the equally beautiful southern belle he left behind, ada monroe, played by nicole kidman. at first glance, this setup appears formulaic as the romantic interest back home gives the audience enough sympathy to root for the reluctant soldier's tribulations on the battlefield. indeed, the earlier segments of the film are relatively unimpressive and even somewhat contrived. cold mountain soon takes a drastic turn, though, as the intrepid hero inman turns out to be a deserter incidentally saving the audience from the potentially confusing scenario of wanting to root for the confederates and begins a long odyssey homeward. meanwhile, back at the farm, ada's cultured ways prove of little use in the fields soon she is transformed into something of a wilderbeast. coming to ada's rescue is the course, tough as nails ruby thewes, played by rene e zellweger, who helps ada put the farm back together and, perhaps more importantly, cope with the loneliness and isolation the war seems to have brought upon ada.within these two settings, a vivid, compelling and, at times, very disturbing portrait of the war torn south unfolds. the characters with whom inman and ada interact are surprisingly complex, enhanced by wonderful performances of brendan gleeson as ruby's deadbeat father, ray winstone as an unrepentant southern lawman, and natalie portman as a deeply troubled and isolated young mother. all have been greatly affected and changed by the war of northern aggression, mostly for the worse. the dark, pervading anti war message, accented by an effective, haunting score and chillingly beautiful shots of virginia and north carolina, is communicated to the audience not so much by gruesome battle scenes as by the scarred land and traumatized people for which the war was fought. though the weapons and tactics of war itself have changed much in the past century, it's hellish effect on the land is timelessly relevant.director anthony minghella manages to maintain this gloomy mood for most of the film, but the atmosphere is unfortunately denigrated by a rather tepid climax that does little justice to the wonderfully formed characters. the love story between inman and ada is awkwardly tacked onto the beginning and end of the film, though the inherently distant, abstracted and even absurd nature of their relationship in a way fits the dismal nature of the rest of the plot.make no mistake, cold mountain has neither the traits of a feel good romance nor an inspiring war drama. it is a unique vision of an era that is sure not only to entertain but also to truly absorb the audience into the lives of a people torn apart by a war and entirely desperate to be rid of its terrible repercussions altogether.",positive
"taut and organically gripping, edward dmytryk's crossfire is a distinctive suspense thriller, an unlikely message movie using the look and devices of the noir cycle.bivouacked in washington, dc, a company of soldiers cope with their restlessness by hanging out in bars. three of them end up at a stranger's apartment where robert ryan, drunk and belligerent, beats their host sam levene to death because he happens to be jewish. police detective robert young investigates with the help of robert mitchum, who's assigned to ryan's outfit. suspicion falls on the second of the three george cooper , who has vanished. ryan slays the third buddy steve brodie to insure his silence before young closes in.abetted by a superior script by john paxton, dmytryk draws precise performances from his three starring bobs. ryan, naturally, does his prototypical angry white male and to the hilt , while mitchum underplays with his characteristic alert nonchalance his role, however, is not central young may never have been better. gloria grahame gives her first fully fledged rendition of the smart mouthed, vulnerable tramp, and, as a sad sack who's leeched into her life, paul kelly haunts us in a small, peripheral role that he makes memorable.the politically engaged dmytryk perhaps inevitably succumbs to sermonizing, but it's pretty much confined to young's reminiscence of how his irish grandfather died at the hands of bigots a century earlier thus, incidentally, stretching chronology to the limit . at least there's no attempt to render an explanation, however glib, of why ryan hates jews and hillbillies and... .curiously, crossfire survives even the major change wrought upon it the novel it's based on richard brooks' the brick foxhole dealt with a gay bashing murder. but homosexuality in 1947 was still beyond the pale. news of the holocaust had, however, begun to emerge from the ashes of europe, so hollywood felt emboldened to register its protest against anti semitism the studios always quaked at the prospect of offending any potential ticket buyer .but while the change from homophobia to anti semitism works in general, the specifics don't fit so smoothly. the victim's chatting up a lonesome, drunk young soldier then inviting him back home looks odd, even though or especially since there's a girlfriend in tow. it raises the question whether this scenario was retained inadvertently or left in as a discreet tip off to the original engine generating ryan's murderous rage.",positive
"ardh satya is one of the finest film ever made in indian cinema. directed by the great director govind nihalani, this one is the most successful hard hitting parallel cinema which also turned out to be a commercial success. even today, ardh satya is an inspiration for all leading directors of india.the film tells the real life scenario of mumbai police of the 70s. unlike any police of other cities in india, mumbai police encompasses a different system altogether. govind nihalani creates a very practical outlay with real life approach of mumbai police environment.amongst various police officers colleagues, the film describes the story of anand velankar, a young hot blooded cop coming from a poor family. his father is a harsh police constable. anand himself suffers from his father's ideologies incidences of his father's atrocities on his mother. anand's approach towards immediate action against crime, is an inert craving for his own job satisfaction. the film is here revolved in a plot wherein anand's constant efforts against crime are trampled by his seniors.this leads to frustrations, as he cannot achieve the desired job satisfaction. resulting from the frustrations, his anger is expressed in excessive violence in the remand rooms bars, also turning him to an alcoholic.the spirit within him is still alive, as he constantly fights the system. he is aware of the system of the metro, where the police politicians are a inertly associated by far end. his compromise towards unethical practice is negative. finally he gets suspended.the direction is a master piece thoroughly hard core. one of the best memorable scenes is when anand breaks in the underworld gangster rama shetty's house to arrest him, followed by short conversation which is fantastic. at many scenes, the film has hair raising moments.the practical approach of script is a major punch. alcoholism, corruption, political influence, courage, deceptions all are integral part of mumbai police even today. those aspects are dealt brilliantly.finally, the films belongs to the one man show, om puri portraying anand velankar traversing through all his emotions absolutely brilliantly.",positive
"my first exposure to the templarios not a good one. i was excited to find this title among the offerings from anchor bay video, which has brought us other cult classics such as spider baby . the print quality is excellent, but this alone can't hide the fact that the film is deadly dull. there's a thrilling opening sequence in which the villagers exact a terrible revenge on the templars set the whole thing in motion , but everything else in the movie is slow, ponderous , ultimately, unfulfilling. adding insult to injury the movie was dubbed, not subtitled, as promised on the video jacket.",negative
"one of the most significant quotes from the entire film is pronounced halfway through by the protagonist, the mafia middle man titta di girolamo, a physically non descript, middle aged man originally from salerno in southern italy. when we're introduced to him at the start of the film, he's been living a non life in an elegant but sterile hotel in the italian speaking canton of switzerland for the last ten years, conducting a business we are only gradually introduced to. while this pivotal yet apparently unremarkable scene takes place employees of the the swiss bank who normally count di girolamo's cash tell him that 10,000 dollars are missing from his usual suitcase full of tightly stacked banknotes. at the news, he quietly but icily threatens his coaxing bank manager of wanting to close down his account. meanwhile he tells us, the spectators, that when you bluff, you have to bluff right through to the end without fear of being caught out or appearing ridiculous. he says you can't bluff for a while and then halfway through, tell the truth. having eventually done this bluffed only halfway through and told the truth, and having accepted the consequences of life and ultimately, love is exactly the reason behind the beginning of titta di girolamo's troubles. this initially unsympathetic character, a scowling, taciturn, curt man on the verge of 50, a man who won't even reply in kind to chambermaids and waitresses who say hello and goodbye, becomes at one point someone the spectator cares deeply about. at one point in his non life, titta decides to feel concern about appearing ridiculous . the first half of the film may be described as slow by some. it does indeed reveal di girolamo's days and nights in that hotel at an oddly disjoined, deliberate pace, revealing seemingly mundane and irrelevant details. however, scenes that may have seemed unnecessary reveal just how essential they are as this masterfully constructed and innovative film unfolds before your eyes. the existence of titta di girolamo the man with no imagination, identity or life, the unsympathetic character you unexpectedly end up loving and feeling for when you least thought you would is also conveyed with elegantly edited sequences and very interesting use of music one theme by the scottish band boards of canada especially stood out . never was the contrast between the way hollywood and italy treat mobsters more at odds than since the release of films such as le conseguenze dell'amore or l'imbalsamatore. another interesting element was the way in which the film made use of the protagonist's insomnia. not unlike the machinist and in a far more explicit way, the al pacino film insomnia , le conseguenze dell'amore uses this condition to symbolise a deeper emotional malaise that's been rammed so deep into the obscurity of the unconscious, it's almost impossible to pin point its cause if indeed there is one . the young and sympathetic hotel waitress sofia played by olivia magnani, grand daughter of the legendary anna and the memory of titta's best friend, a man whom he hasn't seen in 20 years, unexpectedly provide a tiny window onto life that titta eventually though tentatively at first accepts to look through again. though it's never explicitly spelt out, the spectator knows that to a man like titta, accepting the consequences of love will have unimaginable consequences. a film without a single scene of sex or violence, a film that unfolds in its own time and concedes nothing to the spectator's expectations, le conseguenze dell'amore is a fine representative of that small, quiet, discreet renaissance that has been taking place in italian cinema since the decline of cinecitta during the second half of the 70s. the world is waiting for italy to produce more il postino like fare, more la vita e bella style films... neglecting to explore fine creations like le conseguenze dell'amore, l'imbalsamatore and others. your loss, world.",positive
"i watched this film not really expecting much, i got it in a pack of 5 films, all of which were pretty terrible in their own way for under a fiver so what could i expect? and you know what i was right, they were all terrible, this movie has a few and a few is stretching it interesting points, the occasional camcorder view is a nice touch, the drummer is very like a drummer, i.e damned annoying and, well thats about it actually, the problem is that its just so boring, in what i can only assume was an attempt to build tension, a whole lot of nothing happens and when it does its utterly tedious i had my thumb on the fast forward button, ready to press for most of the movie, but gave it a go and seriously is the lead singer of the band that great looking, coz they don't half mention how beautiful he is a hell of a lot, i thought he looked a bit like a meercat, all this and i haven't even mentioned the killer, i'm not even gonna go into it, its just not worth explaining. anyway as far as i'm concerned star and london are just about the only reason to watch this and with the exception of london who was actually quite funny it wasn't because of their acting talent, i've certainly seen a lot worse, but i've also seen a lot better. best avoid unless your bored of watching paint dry.",negative
"i bought this film at blockbuster for 3.00, because it sounded interesting a bit ranma esque, with the idea of someone dragging around a skeleton , because there was a cute girl in a mini skirt on the back, and because there was a restricted viewing sticker on it. i thought it was going to be a sweet or at least sincere coming of age story with a weird indie edge. i was 100 wrong.having watched it, i have to wonder how it got the restricted sticker, since there is hardly any foul language, little violence, and the closest thing to nudity honestly! i don't usually go around hoping for it! is when the girl is in her nightgown and you see her panties you see her panties a lot in this movie, because no matter what, she's wearing a miniskirt of some sort . even the anti religious humor is tame and lame, caricatured, insincere, derivative, unoriginal, and worst of all not funny in the slightest it would be better just to listen to ray stevens' would jesus wear a rolex on his television show . this would barely qualify as pg 13 it is not rated , but blockbuster refuses to let anyone under the age of 17 rent this as if it was pornographic. any little kid could go in there and rent the edited version of requiem for a dream, but they insist that zack and reba is worse.it is, but not in that way.in a way, this worries me the only thing left that could offend people is the idea of the suicide at the beginning. if anybody needs to see movies with honestly portrayed suicides not this one, but better ones like the virgin suicides , it's teenagers. if both of those movies were rated r purely because of the suicide aspect, then i have little chance of turning a story i've been writing into a pg 13 movie the main characters are eleven and a half and twelve . suicide is one of the top three leading causes of death in teenagers i think it's number 2 , so chances are that most teens have been or will be affected by it.just say no to this movie, though. 2 10.",negative
